floracion_dias,altura_cm,densidad_sem,rendimiento,aceite_porcentaje,campania,tipo_ensayo,epoca,distancia_entre_surcos,tipo_siembra,testigo,visible,cultivar
35,151,39870,2566,36.7,2006-2007,Convencional,Normal,70,Convencional,NO,SI,PROTON ER 301
48,165,69650,2006,39.85,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGROBEL 963
48,160,53115,1787,44.88,2007-2008,Convencional,Normal,52,Directa,NO,SI,PARAISO 55
48,185,71319,2138,40.67,2007-2008,Convencional,Normal,52,Directa,NO,SI,PARAISO 22
48,185,55153,2383,37.94,2007-2008,Convencional,Normal,52,Directa,NO,SI,KWSOL TROPEL
49,155,53571,3167,45.7,2010-2011,Convencional,Normal,52,Directa,NO,SI,DEKASOL 3910 CL
49,169,57005,3599,48.65,2010-2011,Convencional,Normal,52,Directa,NO,SI,BUCK SOLFLOR
50,173,44614,4124,46.4,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,DEKASOL 3845 OIL PLUS
50,155,49420,1925,41.14,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGROBEL 960
50,170,53571,3477,53.49,2010-2011,Convencional,Normal,52,Directa,NO,SI,PARAISO 303
50,159,43900,2150,44.2,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,DM 220
50,159,43900,2150,44.2,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,DM 220
50,145,63301,4532,48.17,2014-2015,Convencional,Normal,52,Directa,NO,SI,BUCK 250
51,175,42749,3599,40.6,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,SPS ATOMIC
51,155,62144,1762,40.02,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGROBEL 962
51,165,64469,2317,38.16,2007-2008,Convencional,Normal,52,Directa,NO,SI,PAIHUEN
51,165,57005,3210,49.34,2010-2011,Convencional,Normal,52,Directa,NO,SI,BUCK 250
51,175,55756,2324,43.24,2007-2008,Convencional,Normal,52,Directa,NO,SI,VDH 487
51,180,58930,1968,43.09,2007-2008,Convencional,Normal,52,Directa,NO,SI,CF 27
52,140,60897,4910,55.47,2014-2015,Convencional,Normal,52,Directa,NO,SI,SY 3825
52,187,42400,4024,46.5,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,DEKASOL 3945 OIL PLUS
52,171,44614,3532,42.6,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,EXP SPS 516 CL AO
52,155,56891,3079,53.69,2014-2015,Convencional,Normal,52,Directa,NO,SI,RAS 214 CL
52,155,58443,2194,45.36,2007-2008,Convencional,Normal,52,Directa,NO,SI,RELMO 210
52,195,43229,3633,44.4,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,SAUCE
52,175,54925,1539,43.84,2007-2008,Convencional,Normal,52,Directa,NO,SI,PARAISO 65
52,140,59295,4601,49.7,2014-2015,Convencional,Normal,52,Directa,NO,SI,MSG 134
52,155,64904,4923,52.24,2014-2015,Convencional,Normal,52,Directa,NO,SI,LG 5649
52,140,60096,5053,48.69,2014-2015,Convencional,Normal,52,Directa,NO,SI,ES SHERPA
52,183,38102,3361,41.2,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,DA 307 AO
52,178,39294,3794,42.6,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,BUCK MIRAFLOR
52,180,51511,3005,48.23,2010-2011,Convencional,Normal,52,Directa,NO,SI,BUCK 260
52,160,57057,2353,41.74,2007-2008,Convencional,Normal,52,Directa,NO,SI,GAC 100
52,169,40060,3513,46.1,2006-2007,Alto Oleico,Normal,70,Convencional,SI,NO,VDH 487
52,170,55358,1780,39.53,2007-2008,Convencional,Normal,52,Directa,NO,SI,ACA 863
52,165,59890,1751,38.33,2007-2008,Convencional,Normal,52,Directa,NO,SI,ACA 861
52,145,59295,3270,52.69,2014-2015,Convencional,Normal,52,Directa,NO,SI,ACA 350 CL PLUS
53,155,62500,4728,48.35,2014-2015,Convencional,Normal,52,Directa,NO,SI,SY 3950 HO
53,157,46032,2704,50.6,2002-2003,Convencional,Tardia,70,Convencional,NO,SI,MACON
53,175,57418,1824,43.01,2007-2008,Convencional,Normal,52,Directa,NO,SI,DEKASOL 3820
53,176,54258,3601,50.58,2010-2011,Convencional,Normal,52,Directa,NO,SI,SAG 1
53,170,55632,3259,49.2,2010-2011,Convencional,Normal,52,Directa,NO,SI,QC 6403
53,151,58933,2888,44.01,2003-2004,Convencional,Normal,52,Directa,NO,SI,PROTON R 100
53,139,50612,2740,45.11,2003-2004,Convencional,Normal,52,Directa,NO,SI,PROTON R 100
53,150,59066,3428,42.92,2010-2011,Convencional,Normal,52,Directa,NO,SI,PROSOL 110
53,190,58931,2066,41.36,2007-2008,Convencional,Normal,52,Directa,NO,SI,PAN 7031
53,150,63301,4715,50.12,2014-2015,Convencional,Normal,52,Directa,NO,SI,PAN 7031
53,140,62500,4683,48.01,2014-2015,Convencional,Normal,52,Directa,NO,SI,NUSOL 2500 AO
53,171,57692,3367,53.42,2010-2011,Convencional,Normal,52,Directa,NO,SI,PARAISO 65
53,180,59113,2380,42.09,2007-2008,Convencional,Normal,52,Directa,NO,SI,DF 816
53,179,41271,3450,45.3,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,MF 123285
53,169,50824,2898,50.26,2010-2011,Convencional,Normal,52,Directa,NO,SI,BELINDA CS
53,190,58284,1930,41.14,2007-2008,Convencional,Normal,52,Directa,NO,SI,PAMPERO DM
53,174,52198,3803,45.02,2010-2011,Convencional,Normal,52,Directa,SI,SI,PAIHUEN
53,141,54357,2585,44.52,2003-2004,Convencional,Normal,52,Directa,NO,SI,MILLEN
53,125,50584,2976,42.94,2003-2004,Convencional,Normal,52,Directa,NO,SI,MILLEN
53,158,56777,3570,46.75,2010-2011,Convencional,Normal,52,Directa,NO,SI,CACIQUE CL
53,180,54761,2143,40.09,2007-2008,Convencional,Normal,52,Directa,NO,SI,DM 233
53,170,42781,2671,43.6,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,WICHI
53,170,42781,2671,43.6,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,WICHI
53,127,42828,2318,45.7,2008-2009,Convencional,Normal,52,Directa,NO,SI,MATACO
53,159,39996,2804,48.7,2008-2009,Convencional,Normal,70,Directa,NO,SI,MATACO
53,165,49351,2216,41.12,2007-2008,Convencional,Normal,52,Directa,NO,SI,KOYA
53,159,59684,2621,50.6,2003-2004,Convencional,Normal,52,Directa,NO,SI,BUCK SOLFLOR
53,180,53042,2006,40.68,2007-2008,Convencional,Normal,52,Directa,NO,SI,BUCK 455 DMR
